"Product ","Member Level ","Quantity ","Price ","Price Post Tax "
"
Mac1 JNT 0.6g 2pk","Non-Member","1 ","$5.00","$5.00"
"
Tincture Mango 150mg","Non-Member","1 ","$15.00","$15.00"
"!Basic Lighter $1","Non-Member","1 ","$1.00","$1.00"
"!Battery Adj Button $15","Non-Member","1 ","$15.00","$15.00"
"!Battery Adj button $15 B","Non-Member","1 ","$15.00","$15.00"
"!Battery Basic Draw $10","Non-Member","1 ","$10.00","$10.00"
"!Battery Buddies Auto Draw $10","Non-Member","1 ","$10.00","$10.00"
"!Battery PAX $30","Non-Member","1 ","$30.00","$30.00"
"!Battery Palm $30","Non-Member","1 ","$30.00","$30.00"
"!Battery Pocket Dabber","Non-Member","1 ","$30.00","$30.00"
"!Battery Silo $25","Non-Member","1 ","$25.00","$25.00"
"!Battery UGO V3","Non-Member","1 ","$18.00","$18.00"
"!Butane $7","Non-Member","1 ","$7.00","$7.00"
"!Chillum $4","Non-Member","1 ","$4.00","$4.00"
"!Dab Adapter $15","Non-Member","1 ","$15.00","$15.00"
"!Dab Tool $5","Non-Member","1 ","$5.00","$5.00"
"!Eco Grindr 025 $18","Non-Member","1 ","$18.00","$18.00"
"!Eco Grindr 025 $18 B","Non-Member","1 ","$18.00","$18.00"
"!Element Papers $4","Non-Member","1 ","$4.00","$4.00"
"!Elements Cones $3","Non-Member","1 ","$3.00","$3.00"
"!Elements King Papers $3","Non-Member","1 ","$3.00","$3.00"
"!Glass Banger $14","Non-Member","1 ","$14.00","$14.00"
"!Glass Banger $25","Non-Member","1 ","$25.00","$25.00"
"!Glass Banger $6","Non-Member","1 ","$6.00","$6.00"
"!Glass Bong $100","Non-Member","1 ","$100.00","$100.00"
"!Glass Bong $110","Non-Member","1 ","$110.00","$110.00"
"!Glass Bong $150","Non-Member","1 ","$150.00","$150.00"
"!Glass Bong $170","Non-Member","1 ","$170.00","$170.00"
"!Glass Bong $280","Non-Member","1 ","$280.00","$280.00"
"!Glass Bong $40","Non-Member","1 ","$40.00","$40.00"
"!Glass Bong $45","Non-Member","1 ","$45.00","$45.00"
"!Glass Bong $50","Non-Member","1 ","$50.00","$50.00"
"!Glass Bong $60","Non-Member","1 ","$60.00","$60.00"
"!Glass Bong $65","Non-Member","1 ","$65.00","$65.00"
"!Glass Bong $70","Non-Member","1 ","$70.00","$70.00"
"!Glass Bong $85","Non-Member","1 ","$85.00","$85.00"
"!Glass Bong UFO $250","Non-Member","1 ","$250.00","$250.00"
"!Glass Bowl $10","Non-Member","1 ","$10.00","$10.00"
"!Glass Bowl $12","Non-Member","1 ","$12.00","$12.00"
"!Glass Bowl $2","Non-Member","1 ","$2.00","$2.00"
"!Glass Bowl $8","Non-Member","1 ","$8.00","$8.00"
"!Glass Bowl 14mm $18","Non-Member","1 ","$18.00","$18.00"
"!Glass Bubbler $12","Non-Member","1 ","$12.00","$12.00"
"!Glass Bubbler $120","Non-Member","1 ","$120.00","$120.00"
"!Glass Bubbler $20","Non-Member","1 ","$20.00","$20.00"
"!Glass Bubbler $30","Non-Member","1 ","$30.00","$30.00"
"!Glass Bubbler $50","Non-Member","1 ","$50.00","$50.00"
"!Glass Cleaner $20","Non-Member","1 ","$15.00","$15.00"
"!Glass Dabrig $30","Non-Member","1 ","$30.00","$30.00"
"!Glass Dabrig $60","Non-Member","1 ","$60.00","$60.00"
"!Glass Pipe $10","Non-Member","1 ","$10.00","$10.00"
"!Glass Pipe $14","Non-Member","1 ","$14.00","$14.00"
"!Glass Pipe $18","Non-Member","1 ","$18.00","$18.00"
"!Glass Pipe $2","Non-Member","1 ","$2.00","$2.00"
"!Glass Pipe $20","Non-Member","1 ","$20.00","$20.00"
"!Glass Pipe $22","Non-Member","1 ","$22.00","$22.00"
"!Glass Pipe $30","Non-Member","1 ","$30.00","$30.00"
"!Glass Pipe $35","Non-Member","1 ","$35.00","$35.00"
"!Glass Pipe $38","Non-Member","1 ","$38.00","$38.00"
"!Glass Pipe $40","Non-Member","1 ","$40.00","$40.00"
"!Glass Pipe $8","Non-Member","1 ","$8.00","$8.00"
"!Glass Pipe B $25","Non-Member","1 ","$25.00","$25.00"
"!Glass Pipe B $30","Non-Member","1 ","$30.00","$30.00"
"!Glass Pipe B $40","Non-Member","1 ","$40.00","$40.00"
"!Glass Pipe C $25","Non-Member","1 ","$25.00","$25.00"
"!Glass Pipe Elephant $20","Non-Member","1 ","$20.00","$20.00"
"!Glass Pipe Sherlock $60","Non-Member","1 ","$60.00","$60.00"
"!Glass Sherlock $15","Non-Member","1 ","$15.00","$15.00"
"!Glass Straw $4","Non-Member","1 ","$4.00","$4.00"
"!Glass banger $50","Non-Member","1 ","$50.00","$50.00"
"!Glass dab cap $8","Non-Member","1 ","$8.00","$8.00"
"!Grinder $20","Non-Member","1 ","$20.00","$20.00"
"!Grinder High Roller $25","Non-Member","1 ","$25.00","$25.00"
"!Grinder Mini $10","Non-Member","1 ","$10.00","$10.00"
"!Grinder Wood $6","Non-Member","1 ","$6.00","$6.00"
"!Grindr $3","Non-Member","1 ","$3.00","$3.00"
"!Hemp Wick $2","Non-Member","1 ","$2.00","$2.00"
"!Hemp Wrap $3","Non-Member","1 ","$3.00","$3.00"
"!Lighter Bic $3","Non-Member","1 ","$3.00","$3.00"
"!Metal Grinder $30","Non-Member","1 ","$30.00","$30.00"
"!Metal Grinder $30 B","Non-Member","1 ","$30.00","$30.00"
"!Pen Charger$ 4","Non-Member","1 ","$4.00","$4.00"
"!Puffco Plus $90","Non-Member","1 ","$90.00","$90.00"
"!Quickdraw 500 DLX Vape $250","Non-Member","1 ","$250.00","$250.00"
"!Rangy's Drift Vape $50","Non-Member","1 ","$50.00","$50.00"
"!Raw Classic Papers $3","Non-Member","1 ","$3.00","$3.00"
"!Raw Cones 3pk $3","Non-Member","1 ","$3.00","$3.00"
"!Raw Lighter $2","Non-Member","1 ","$2.00","$2.00"
"!Raw Tips $2","Non-Member","1 ","$2.00","$2.00"
"!Silicone Bong $28","Non-Member","1 ","$28.00","$28.00"
"!Silicone Bong $65","Non-Member","1 ","$65.00","$65.00"
"!Silicone Bong $72","Non-Member","1 ","$72.00","$72.00"
"!Torch Mini $25","Non-Member","1 ","$25.00","$25.00"
"!Toro Vaporizer $100","Non-Member","1 ","$100.00","$100.00"
"!Wood Pipe $40","Non-Member","1 ","$40.00","$40.00"
"!Yocan Evolved XL Vape $65","Non-Member","1 ","$65.00","$65.00"
"!glass bong $80","Non-Member","1 ","$80.00","$80.00"
"$Glass bong $110","Non-Member","1 ","$110.00","$110.00"
"1047 cart LR 1g","Non-Member","1 ","$35.00","$35.00"
"24k JNT 0.5g 5pk","Non-Member","1 ","$8.33","$8.33"
"24k JNT 0.6g 2pk","Non-Member","1 ","$4.17","$4.17"
"24k PP 1g","Non-Member","1 g","$3.33","$3.33"
"","","3.5 g","$10.83","$10.83"
"","","4 g","$10.83","$10.83"
"","","7 g","$20.83","$20.83"
"","","14 g","$37.50","$37.50"
"","","28 g","$66.67","$66.67"
"","","56 g","$125.00","$125.00"
"24k PP 3.5g","Non-Member","1 g","$3.33","$3.33"
"","","3.5 g","$10.83","$10.83"
"","","4 g","$10.83","$10.83"
"","","7 g","$20.83","$20.83"
"","","14 g","$37.50","$37.50"
"","","28 g","$66.67","$66.67"
"","","56 g","$125.00","$125.00"
"24k PP 7g","Non-Member","1 g","$3.33","$3.33"
"","","3.5 g","$10.83","$10.83"
"","","4 g","$10.83","$10.83"
"","","7 g","$20.83","$20.83"
"","","14 g","$37.50","$37.50"
"","","28 g","$66.67","$66.67"
"","","56 g","$125.00","$125.00"
"Aja Hemp Herb Oil 1oz","Non-Member","1 ","$8.33","$8.33"
"Aja Massage Oil 8oz","Non-Member","1 ","$18.00","$18.00"
"Alien Dreams cart Live Dist 1g","Non-Member","1 ","$31.67","$31.67"
"Alien ET Twax JNT 1g","Non-Member","1 ","$16.67","$16.67"
"All Gas PP 1g","Non-Member","1 g","$3.33","$3.33"
"","","3.5 g","$10.83","$10.83"
"","","4 g","$10.83","$10.83"
"","","7 g","$20.83","$20.83"
"","","14 g","$37.50","$37.50"
"","","28 g","$66.67","$66.67"
"","","56 g","$125.00","$125.00"
"All Gas PP 3.5g","Non-Member","1 g","$3.33","$3.33"
"","","3.5 g","$10.83","$10.83"
"","","4 g","$10.83","$10.83"
"","","7 g","$20.83","$20.83"
"","","14 g","$37.50","$37.50"
"","","28 g","$66.67","$66.67"
"","","56 g","$125.00","$125.00"
"All Gas PP 7g","Non-Member","1 g","$3.33","$3.33"
"","","3.5 g","$10.83","$10.83"
"","","4 g","$10.83","$10.83"
"","","7 g","$20.83","$20.83"
"","","14 g","$37.50","$37.50"
"","","28 g","$66.67","$66.67"
"","","56 g","$125.00","$125.00"
"Alpha Bitch Cart CO2 1g","Non-Member","1 ","$15.00","$15.00"
"Alpine Kush cart Dist 1g","Non-Member","1 ","$29.17","$29.17"
"American Beauty cart LR 1g","Non-Member","1 ","$35.00","$35.00"
"BCD x Dr. Who JNT 0.5g 10pk","Non-Member","1 ","$16.67","$16.67"
"Banana Puddintain PP 1g","Non-Member","1 g","$3.33","$3.33"
"","","3.5 g","$10.83","$10.83"
"","","4 g","$10.83","$10.83"
"","","7 g","$20.83","$20.83"
"","","14 g","$37.50","$37.50"
"","","28 g","$66.67","$66.67"
"","","56 g","$125.00","$125.00"
"Banana Puddintain PP 3.5","Non-Member","1 g","$3.33","$3.33"
"","","3.5 g","$10.83","$10.83"
"","","4 g","$10.83","$10.83"
"","","7 g","$20.83","$20.83"
"","","14 g","$37.50","$37.50"
"","","28 g","$66.67","$66.67"
"","","56 g","$125.00","$125.00"
"Banana Puddintain PP 7g","Non-Member","1 g","$3.33","$3.33"
"","","3.5 g","$10.83","$10.83"
"","","4 g","$10.83","$10.83"
"","","7 g","$20.83","$20.83"
"","","14 g","$37.50","$37.50"
"","","28 g","$66.67","$66.67"
"","","56 g","$125.00","$125.00"
"Banner Cart Dist 1g","Non-Member","1 ","$29.17","$29.17"
"Bath Salt Soothing Lavender 165mg","Non-Member","1 ","$33.33","$33.33"
"Berry Gelato cart DIST 1g","Non-Member","1 ","$20.00","$20.00"
"Berry White JNT 0.5g 10pk","Non-Member","1 ","$12.50","$12.50"
"Birds Eye LR 1g","Non-Member","1 ","$20.00","$20.00"
"Black Cherry Cart CO2 1g","Non-Member","1 ","$20.83","$20.83"
"Black Cherry Mimosa Shatter 1g","Non-Member","1 ","$8.33","$8.33"
"Black Cherry Punch JNT 0.6g 2pk","Non-Member","1 ","$4.17","$4.17"
"Black Cherry Punch PP 1g","Non-Member","1 g","$5.83","$5.83"
"","","3.5 g","$19.17","$19.17"
"","","4 g","$19.17","$19.17"
"","","7 g","$35.00","$35.00"
"","","14 g","$66.67","$66.67"
"","","28 g","$125.00","$125.00"
"","","56 g","$241.67","$241.67"
"Black Cherry Punch PP 3.5g","Non-Member","1 g","$5.83","$5.83"
"","","3.5 g","$19.17","$19.17"
"","","4 g","$19.17","$19.17"
"","","7 g","$35.00","$35.00"
"","","14 g","$66.67","$66.67"
"","","28 g","$125.00","$125.00"
"","","56 g","$241.67","$241.67"
"Black Cherry Punch PP 7g","Non-Member","1 g","$5.83","$5.83"
"","","3.5 g","$19.17","$19.17"
"","","4 g","$19.17","$19.17"
"","","7 g","$35.00","$35.00"
"","","14 g","$66.67","$66.67"
"","","28 g","$125.00","$125.00"
"","","56 g","$241.67","$241.67"
"Black Dog JNT 0.6g","Non-Member","1 ","$2.50","$2.50"
"Black Dog JNT 1g","Non-Member","1 ","$6.67","$6.67"
"Black Dog PP 1g","Non-Member","1 g","$5.83","$5.83"
"","","3.5 g","$19.17","$19.17"
"","","4 g","$19.17","$19.17"
"","","7 g","$35.00","$35.00"
"","","14 g","$66.67","$66.67"
"","","28 g","$125.00","$125.00"
"","","56 g","$241.67","$241.67"
"Black Dog PP 3.5g","Non-Member","1 g","$5.83","$5.83"
"","","3.5 g","$19.17","$19.17"
"","","4 g","$19.17","$19.17"
"","","7 g","$35.00","$35.00"
"","","14 g","$66.67","$66.67"
"","","28 g","$125.00","$125.00"
"","","56 g","$241.67","$241.67"
"Black Dog PP 7g","Non-Member","1 g","$5.83","$5.83"
"","","3.5 g","$19.17","$19.17"
"","","4 g","$19.17","$19.17"
"","","7 g","$35.00","$35.00"
"","","14 g","$66.67","$66.67"
"","","28 g","$125.00","$125.00"
"","","56 g","$241.67","$241.67"
"Black Lime Cart Dist 1g","Non-Member","1 ","$13.33","$13.33"
"Black Sugar Rose JNT 0.6g","Non-Member","1 ","$2.50","$2.50"
"Black Sugar Rose PP 28g","Non-Member","1 ","$41.67","$41.67"
"Blackjack JNT 0.6g","Non-Member","1 ","$8.33","$8.33"
"Blackjack JNT 1g","Non-Member","1 ","$5.83","$5.83"
"Blackjack PP 1g
","Non-Member","1 g","$8.33","$8.33"
"","","3.5 g","$26.67","$26.67"
"","","4 g","$26.67","$26.67"
"","","7 g","$48.33","$48.33"
"","","14 g","$87.50","$87.50"
"","","28 g","$166.67","$166.67"
"","","56 g","$325.00","$325.00"
"","Standard Member","1 g","$8.33","$8.33"
"Blackjack PP 3.5g
","Non-Member","1 g","$8.33","$8.33"
"","","3.5 g","$26.67","$26.67"
"","","4 g","$26.67","$26.67"
"","","7 g","$48.33","$48.33"
"","","14 g","$87.50","$87.50"
"","","28 g","$166.67","$166.67"
"","","56 g","$325.00","$325.00"
"","Standard Member","1 g","$8.33","$8.33"
"Blackjack PP 7g","Non-Member","1 g","$8.33","$8.33"
"","","3.5 g","$26.67","$26.67"
"","","4 g","$26.67","$26.67"
"","","7 g","$48.33","$48.33"
"","","14 g","$87.50","$87.50"
"","","28 g","$166.67","$166.67"
"","","56 g","$325.00","$325.00"
"","Standard Member","1 g","$8.33","$8.33"
"Blood Orange JNT 0.5g 10pk","Non-Member","1 ","$16.67","$16.67"
"Blood Orange x Sapphire OG JNT 0.5g 10pk","Non-Member","1 ","$16.67","$16.67"
"Blue Cheese Cart Dist 1g","Non-Member","1 ","$8.33","$8.33"
"Blue City Diesel JNT 0.5g 10pk","Non-Member","1 ","$16.67","$16.67"
"Blue Cookies Cart CO2 1g","Non-Member","1 ","$16.67","$16.67"
"Blue Dream cart DIST 1g","Non-Member","1 ","$20.00","$20.00"
"Blue Magoo BLUNT 1g","Non-Member","1 ","$8.33","$8.33"
"Blue Magoo JNT 0.5g 5pk","Non-Member","1 ","$8.33","$8.33"
"Blue Magoo JNT 0.6g 2pk","Non-Member","1 ","$8.33","$8.33"
"Blue Magoo JNT 8g","Non-Member","1 ","$20.83","$20.83"
"Blue Magoo PP 1g","Non-Member","1 g","$5.83","$5.83"
"","","3.5 g","$19.17","$19.17"
"","","4 g","$19.17","$19.17"
"","","7 g","$35.00","$35.00"
"","","14 g","$66.67","$66.67"
"","","28 g","$125.00","$125.00"
"","","56 g","$241.67","$241.67"
"Blue Magoo PP 3.5g","Non-Member","1 g","$5.83","$5.83"
"","","3.5 g","$19.17","$19.17"
"","","4 g","$19.17","$19.17"
"","","7 g","$35.00","$35.00"
"","","14 g","$66.67","$66.67"
"","","28 g","$125.00","$125.00"
"","","56 g","$241.67","$241.67"
"Blue Magoo PP 7g","Non-Member","1 g","$5.83","$5.83"
"","","3.5 g","$19.17","$19.17"
"","","4 g","$19.17","$19.17"
"","","7 g","$35.00","$35.00"
"","","14 g","$66.67","$66.67"
"","","28 g","$125.00","$125.00"
"","","56 g","$241.67","$241.67"
"Blue Magoo cart LR 1g","Non-Member","1 ","$35.00","$35.00"
"Blueberry Diesel OG cart Dist 1g","Non-Member","1 ","$29.17","$29.17"
"Blueberry Diesel budder 1g","Non-Member","1 ","$16.67","$16.67"
"Blueberry Diesel x OT PP 28g","Non-Member","28 ","$16.67","$16.67"
"Blueberry Diesel x Triple OG JNT 0.5g 5pk","Non-Member","1 ","$8.33","$8.33"
"Blueberry Diesel x Triple OG PP 1g","Non-Member","1 g","$8.33","$8.33"
"","","3.5 g","$26.67","$26.67"
"","","4 g","$26.67","$26.67"
"","","7 g","$48.33","$48.33"
"","","14 g","$87.50","$87.50"
"","","28 g","$166.67","$166.67"
"","","56 g","$325.00","$325.00"
"","Standard Member","1 g","$8.33","$8.33"
"Blueberry Diesel x Triple OG PP 3.5g","Non-Member","1 g","$8.33","$8.33"
"","","3.5 g","$26.67","$26.67"
"","","4 g","$26.67","$26.67"
"","","7 g","$48.33","$48.33"
"","","14 g","$87.50","$87.50"
"","","28 g","$166.67","$166.67"
"","","56 g","$325.00","$325.00"
"","Standard Member","1 g","$8.33","$8.33"
"Blueberry Diesel x Triple OG PP 7g","Non-Member","1 g","$8.33","$8.33"
"","","3.5 g","$26.67","$26.67"
"","","4 g","$26.67","$26.67"
"","","7 g","$48.33","$48.33"
"","","14 g","$87.50","$87.50"
"","","28 g","$166.67","$166.67"
"","","56 g","$325.00","$325.00"
"","Standard Member","1 g","$8.33","$8.33"
"Blueberry Muffin JNT 0.5g 10pk","Non-Member","1 ","$15.00","$15.00"
"Blueberry Muffin JNT 0.5g 5pk","Non-Member","1 ","$10.00","$10.00"
"Blueberry Muffin JNT 1g","Non-Member","1 ","$5.00","$5.00"
"Blueberry Muffin JNT 6g","Non-Member","1 ","$45.83","$45.83"
"Blueberry Muffin cart LR 1g","Non-Member","1 ","$33.33","$33.33"
"Bruce Banner PP 1g","Non-Member","1 g","$5.83","$5.83"
"","","3.5 g","$19.17","$19.17"
"","","4 g","$19.17","$19.17"
"","","7 g","$35.00","$35.00"
"","","14 g","$66.67","$66.67"
"","","28 g","$125.00","$125.00"
"","","56 g","$241.67","$241.67"
"Bubba Kush JNT 0.6g 2pk","Non-Member","1 ","$4.17","$4.17"
"CBD Transdermal Patch","Non-Member","1 ","$12.50","$12.50"
"CBD Variety JNT 10pk","Non-Member","1 ","$15.00","$15.00"
"CBDiesel JNT 0.6g","Non-Member","1 ","$4.17","$4.17"
"CBDiesel PP 1g","Non-Member","1 g","$3.33","$3.33"
"","","3.5 g","$10.83","$10.83"
"","","4 g","$10.83","$10.83"
"","","7 g","$20.83","$20.83"
"","","14 g","$37.50","$37.50"
"","","28 g","$66.67","$66.67"
"","","56 g","$125.00","$125.00"
"CBDiesel PP 3.5g","Non-Member","1 g","$3.33","$3.33"
"","","3.5 g","$10.83","$10.83"
"","","4 g","$10.83","$10.83"
"","","7 g","$20.83","$20.83"
"","","14 g","$37.50","$37.50"
"","","28 g","$66.67","$66.67"
"","","56 g","$125.00","$125.00"
"CBDiesel PP 7g","Non-Member","1 g","$3.33","$3.33"
"","","3.5 g","$10.83","$10.83"
"","","4 g","$10.83","$10.83"
"","","7 g","$20.83","$20.83"
"","","14 g","$37.50","$37.50"
"","","28 g","$66.67","$66.67"
"","","56 g","$125.00","$125.00"
"Captain Fantasy JNT 0.6g","Non-Member","1 ","$5.00","$5.00"
"Captain Fantasy PP 1g","Non-Member","1 g","$3.33","$3.33"
"","","3.5 g","$10.83","$10.83"
"","","4 g","$10.83","$10.83"
"","","7 g","$20.83","$20.83"
"","","14 g","$37.50","$37.50"
"","","28 g","$66.67","$66.67"
"","","56 g","$125.00","$125.00"
"Captain Fantasy PP 3.5g","Non-Member","1 g","$3.33","$3.33"
"","","3.5 g","$10.83","$10.83"
"","","4 g","$10.83","$10.83"
"","","7 g","$20.83","$20.83"
"","","14 g","$37.50","$37.50"
"","","28 g","$66.67","$66.67"
"","","56 g","$125.00","$125.00"
"Captain Fantasy PP 7g","Non-Member","1 g","$3.33","$3.33"
"","","3.5 g","$10.83","$10.83"
"","","4 g","$10.83","$10.83"
"","","7 g","$20.83","$20.83"
"","","14 g","$37.50","$37.50"
"","","28 g","$66.67","$66.67"
"","","56 g","$125.00","$125.00"
"Carl Sagan PP 1g","Non-Member","1 g","$3.33","$3.33"
"","","3.5 g","$10.83","$10.83"
"","","4 g","$10.83","$10.83"
"","","7 g","$20.83","$20.83"
"","","14 g","$37.50","$37.50"
"","","28 g","$66.67","$66.67"
"","","56 g","$125.00","$125.00"
"Carl Sagan PP 3.5g","Non-Member","1 g","$3.33","$3.33"
"","","3.5 g","$10.83","$10.83"
"","","4 g","$10.83","$10.83"
"","","7 g","$20.83","$20.83"
"","","14 g","$37.50","$37.50"
"","","28 g","$66.67","$66.67"
"","","56 g","$125.00","$125.00"
"Carl Sagan PP 7g","Non-Member","1 g","$3.33","$3.33"
"","","3.5 g","$10.83","$10.83"
"","","4 g","$10.83","$10.83"
"","","7 g","$20.83","$20.83"
"","","14 g","$37.50","$37.50"
"","","28 g","$66.67","$66.67"
"","","56 g","$125.00","$125.00"
"Chem OG Bbuds PP 1g
","Non-Member","1 g","$5.83","$5.83"
"","","3.5 g","$19.17","$19.17"
"","","4 g","$19.17","$19.17"
"","","7 g","$35.00","$35.00"
"","","14 g","$66.67","$66.67"
"","","28 g","$125.00","$125.00"
"","","56 g","$241.67","$241.67"
"Chem OG Bbuds PP 3.5g
","Non-Member","1 g","$5.83","$5.83"
"","","3.5 g","$19.17","$19.17"
"","","4 g","$19.17","$19.17"
"","","7 g","$35.00","$35.00"
"","","14 g","$66.67","$66.67"
"","","28 g","$125.00","$125.00"
"","","56 g","$241.67","$241.67"
"Chem OG Bbuds PP 7g","Non-Member","1 g","$5.83","$5.83"
"","","3.5 g","$19.17","$19.17"
"","","4 g","$19.17","$19.17"
"","","7 g","$35.00","$35.00"
"","","14 g","$66.67","$66.67"
"","","28 g","$125.00","$125.00"
"","","56 g","$241.67","$241.67"
"Chem OG JNT 0.6g 2pk","Non-Member","1 ","$6.67","$6.67"
"Cherry Attobaox CBD LR 1g","Non-Member","1 ","$20.00","$20.00"
"Cherry Chem JNT 0.6g 2pk","Non-Member","1 ","$5.00","$5.00"
"Cherry Chem JNT 1g","Non-Member","1 ","$5.00","$5.00"
"Cherry Chem LR 1g","Non-Member","1 ","$20.00","$20.00"
"Cherry Chem PP 1g","Non-Member","1 g","$3.33","$3.33"
"","","3.5 g","$10.83","$10.83"
"","","4 g","$10.83","$10.83"
"","","7 g","$20.83","$20.83"
"","","14 g","$37.50","$37.50"
"","","28 g","$66.67","$66.67"
"","","56 g","$125.00","$125.00"
"Cherry Chem PP 3.5g","Non-Member","1 g","$3.33","$3.33"
"","","3.5 g","$10.83","$10.83"
"","","4 g","$10.83","$10.83"
"","","7 g","$20.83","$20.83"
"","","14 g","$37.50","$37.50"
"","","28 g","$66.67","$66.67"
"","","56 g","$125.00","$125.00"
"Cherry Chem PP 7g","Non-Member","1 g","$3.33","$3.33"
"","","3.5 g","$10.83","$10.83"
"","","4 g","$10.83","$10.83"
"","","7 g","$20.83","$20.83"
"","","14 g","$37.50","$37.50"
"","","28 g","$66.67","$66.67"
"","","56 g","$125.00","$125.00"
"Cherry Cookies JNT 0.6g 2pk","Non-Member","1 ","$10.00","$10.00"
"Cherry Cookies PP 1g
","Non-Member","1 g","$8.33","$8.33"
